system   D            wsystem.c:585  maybe_parent_dir                 [   0.00365] Also searching C:\Users\Roland\Documents\GITHUB\Brick-Breaker\
display  D   display_settings.c:191  debug_display_settings           [   0.71332] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.71334] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.71335] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71337] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.71339] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71341] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.71342] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.71344] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.71346] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71348] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.71349] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71351] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.71352] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.71354] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.71356] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71358] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.71359] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71364] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.71366] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.71368] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.71370] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71371] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.71373] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71375] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.71376] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.71378] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.71380] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71382] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.71383] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71385] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.71387] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.71389] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.71390] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71392] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.71394] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71396] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.71397] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.71399] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.71400] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71402] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.71404] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71406] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.71407] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.71409] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.71411] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71413] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71414] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71416] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71418] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.71420] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71422] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71424] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71425] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71427] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71429] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.71431] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71432] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71434] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71436] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71438] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71440] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.71442] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71443] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71445] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71447] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71449] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71450] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.71452] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71454] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71456] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71457] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71459] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71461] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.71463] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71464] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71466] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71468] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71470] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71471] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.71474] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71475] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71477] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71479] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71481] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71482] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.71484] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71486] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71488] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71489] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71492] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71493] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.71495] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1644 d3d_create_display_internals     [   0.71501] Trying format 0.
d3d      I         d3d_disp.cpp:1325 d3d_display_thread_proc          [   0.73982] Chose a display format: 23
d3d      I         d3d_disp.cpp:1394 d3d_display_thread_proc          [   0.73988] Normal window.
d3d      I         d3d_disp.cpp:800  d3d_create_device                [   0.76816] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:865  d3d_create_device                [   0.89887] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:873  d3d_create_device                [   0.89893] Success
d3d      D         d3d_disp.cpp:1667 d3d_create_display_internals     [   0.89897] Resumed after wait.
d3d      I         d3d_disp.cpp:1700 d3d_create_display_internals     [   0.89906] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1723 d3d_create_display_internals     [   0.89915] Returning d3d_display: 00413D80
d3d      D         d3d_disp.cpp:1748 d3d_create_display_locked        [   0.89916] al_display=00413D80
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.89918] al_display->vt=00413CB8
dtor     D               dtor.c:184  _al_register_destructor          [   1.35554] added dtor for object 05095058, func 0F3727CA
dtor     D               dtor.c:184  _al_register_destructor          [   1.35562] added dtor for object 05095220, func 0F3724FA
d3d      I         d3d_disp.cpp:920  d3d_destroy_display              [  10.73352] destroying display 00413D80 (current 00000000)
d3d      D         d3d_disp.cpp:904  d3d_destroy_display_internals    [  10.73358] waiting for display 00413D80's thread to end
d3d      W         d3d_disp.cpp:616  d3d_destroy_device               [  10.76323] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1526 d3d_display_thread_proc          [  10.78343] d3d display thread exits
dtor     D               dtor.c:214  _al_unregister_destructor        [  10.78372] removed dtor for object 05095058
dtor     D               dtor.c:214  _al_unregister_destructor        [  10.79148] removed dtor for object 05095220
